title,genres_rotten,original_release_date,day,month,year,runtime,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
Being There,"Comedy, Drama",19-12-79,19,12,1979,130,Certified-Fresh,95,56,Upright,92,25106,9,53,3
Beirut,Drama,11-04-18,11,04,2018,109,Certified-Fresh,82,131,Spilled,56,1396,34,107,24
Bel Ami,Drama,08-06-12,08,06,2012,102,Rotten,27,95,Spilled,29,9278,31,26,69
Bela Lugosi Meets a Brooklyn Gorilla,"Classics, Comedy, Horror, Science Fiction & Fantasy",04-09-52,04,09,1952,74,Rotten,29,7,Spilled,16,216,0,2,5
Believe in Me,Drama,09-03-07,09,03,2007,108,Fresh,60,10,Upright,74,1986,1,6,4
Believe,Drama,02-12-16,02,12,2016,119,Rotten,33,6,Upright,68,715,1,2,4
Believe Me,Comedy,26-09-14,26,09,2014,94,Rotten,40,20,Upright,61,438,2,8,12
Bella (Beauty),"Art House & International, Drama, Romance",09-09-06,09,09,2006,91,Rotten,44,66,Upright,81,20333,29,29,37
The Bellboy,"Classics, Comedy",01-01-60,01,01,1960,72,Fresh,70,10,Upright,68,4735,0,7,3
Belle,Drama,02-05-14,02,05,2014,103,Certified-Fresh,84,152,Upright,82,25089,47,128,24
Belle de Jour,Drama,10-04-68,10,04,1968,102,Certified-Fresh,95,57,Upright,86,4163,14,54,3
Belle's Magical World,"Animation, Comedy, Kids & Family",17-02-98,17,02,1998,70,Rotten,17,6,Upright,72,71874,0,1,5
Bellflower,"Action & Adventure, Drama, Romance",05-08-11,05,08,2011,105,Certified-Fresh,73,94,Upright,63,6277,28,69,25
Bells Are Ringing,"Classics, Musical & Performing Arts, Romance",23-06-60,23,06,1960,127,Fresh,82,11,Upright,75,1799,1,9,2
Belly,"Action & Adventure, Drama, Mystery & Suspense",04-11-98,04,11,1998,95,Rotten,16,19,Upright,87,34269,3,3,16
Beloved,"Comedy, Drama",17-08-12,17,08,2012,133,Rotten,56,45,Spilled,45,740,21,25,20
Beloved Sisters,Drama,09-01-15,09,01,2015,140,Fresh,72,43,Spilled,40,369,15,31,12
Below,"Mystery & Suspense, Science Fiction & Fantasy",11-10-02,11,10,2002,105,Fresh,64,70,Spilled,44,7923,23,45,25
Belzebuth,Horror,,00,01,1900,114,Fresh,79,14,Upright,70,56,0,11,3
Ben,"Horror, Mystery & Suspense",23-06-72,23,06,1972,93,Fresh,67,9,Spilled,39,599,1,6,3
Ben-Hur,"Classics, Drama",19-08-16,19,08,2016,125,Rotten,25,190,Spilled,53,18998,36,47,143
Ben is Back,Drama,07-12-18,07,12,2018,103,Certified-Fresh,81,215,Upright,70,1281,44,176,40
The Benchwarmers,Comedy,07-04-06,07,04,2006,85,Rotten,13,72,Upright,64,421961,15,9,63
Bend It Like Beckham,"Comedy, Drama",01-08-03,01,08,2003,112,Certified-Fresh,85,155,Upright,73,469777,36,132,23
Benda Bilili!,"Art House & International, Documentary, Special Interest",30-09-11,30,09,2011,85,Fresh,93,28,Upright,82,355,15,26,2
Beneath,Horror,03-05-13,03,05,2013,89,Rotten,33,15,Spilled,14,199,5,5,10
Beneath Hill 60,"Art House & International, Drama",19-08-10,19,08,2010,117,Fresh,86,14,Upright,77,2146,4,12,2
Beneath The Darkness,Mystery & Suspense,06-01-12,06,01,2012,97,Rotten,4,24,Spilled,15,1607,10,1,23
Beneath The Harvest Sky,Drama,02-05-14,02,05,2014,116,Fresh,62,21,Upright,66,322,10,13,8
Beneath the Leaves,Mystery & Suspense,08-02-19,08,02,2019,90,Rotten,20,5,Spilled,9,64,2,1,4
Beneath The Planet Of The Apes,"Action & Adventure, Science Fiction & Fantasy",26-05-70,26,05,1970,95,Rotten,38,32,Spilled,38,23830,4,12,20
Ben-Hur,"Action & Adventure, Classics, Drama, Romance",18-11-59,18,11,1959,203,Certified-Fresh,86,50,Upright,89,106187,11,43,7
Benjamin,"Art House & International, Comedy, Romance",25-08-20,25,08,2020,85,Fresh,89,38,Upright,74,65,4,34,4
Benji,"Action & Adventure, Documentary, Kids & Family",17-10-74,17,10,1974,86,Fresh,86,7,Spilled,55,33834,0,6,1
Benji,Kids & Family,16-03-18,16,03,2018,87,Fresh,60,10,Upright,70,149,5,6,4
Benji: Off the Leash!,"Drama, Kids & Family",20-08-04,20,08,2004,99,Rotten,33,43,Spilled,52,1777,16,14,29
Benji the Hunted,"Action & Adventure, Comedy, Kids & Family",05-06-87,05,06,1987,88,Rotten,55,11,Upright,62,10292,0,6,5
Benny & Joon,"Comedy, Drama, Romance",01-01-93,01,01,1993,98,Certified-Fresh,76,41,Upright,85,143483,12,31,10
Benny's Video,"Art House & International, Drama, Horror",01-01-92,01,01,1992,105,Fresh,64,11,Upright,75,4494,3,7,4
Beowulf,"Action & Adventure, Animation, Science Fiction & Fantasy",15-11-07,15,11,2007,114,Certified-Fresh,71,197,Spilled,50,339133,51,140,57
Berberian Sound Studio,Horror,14-06-13,14,06,2013,88,Certified-Fresh,85,98,Spilled,53,3273,30,83,15
Bereavement,Horror,04-03-11,04,03,2011,103,Rotten,44,18,Spilled,29,2963,5,8,10
Berlin: Symphony of a Great City (Berlin: Die Sinfonie der Großstadt),"Art House & International, Classics, Documentary, Special Interest",01-01-27,01,01,1927,60,Fresh,86,7,Upright,82,1104,2,6,1
"Berlin, I Love You","Comedy, Romance",08-02-19,08,02,2019,120,Rotten,11,18,Spilled,29,94,10,2,16
Berlin Syndrome,"Art House & International, Drama, Mystery & Suspense",26-05-17,26,05,2017,116,Certified-Fresh,75,88,Spilled,53,4425,17,66,22
Bernard and Huey,Comedy,08-06-18,08,06,2018,90,Fresh,74,19,Upright,79,114,8,14,5
Bernie,Comedy,27-04-12,27,04,2012,104,Certified-Fresh,88,163,Upright,73,41815,44,144,19
"Bert Rigby, You're a Fool","Comedy, Musical & Performing Arts",24-02-89,24,02,1989,94,Rotten,40,5,Spilled,55,95,1,2,3
Beside Bowie: The Mick Ronson Story,Documentary,01-09-17,01,09,2017,108,Fresh,80,5,Upright,60,28,1,4,1
Beside Still Waters,"Comedy, Drama, Romance",14-11-14,14,11,2014,76,Fresh,62,13,Upright,72,241,3,8,5
Bessie,"Drama, Television",,00,01,1900,120,Certified-Fresh,90,29,Upright,68,490,20,26,3
Best Friends,"Comedy, Drama",17-12-82,17,12,1982,116,Fresh,62,13,Spilled,28,3945,5,8,5
Best in Show,Comedy,29-09-00,29,09,2000,90,Certified-Fresh,94,114,Upright,89,56472,31,107,7
Best Laid Plans,"Drama, Mystery & Suspense",10-09-99,10,09,1999,92,Rotten,43,21,Spilled,38,6652,5,9,12
Best Laid Plans,Drama,,00,01,1900,103,Rotten,50,6,Spilled,38,133,4,3,3
The Best Little Whorehouse in Texas,"Comedy, Musical & Performing Arts, Romance",23-07-82,23,07,1982,114,Rotten,50,10,Upright,68,15501,1,5,5
Best Men,"Comedy, Drama, Mystery & Suspense",01-06-98,01,06,1998,89,Rotten,13,8,Spilled,40,4371,0,1,7
Best Night Ever,Comedy,31-01-14,31,01,2014,82,Rotten,0,15,Spilled,37,624,5,0,15
Best Of Enemies,Documentary,31-07-15,31,07,2015,88,Certified-Fresh,93,120,Upright,85,6734,38,112,8
The Best of Everything,"Classics, Drama",09-10-59,09,10,1959,121,Fresh,67,6,Spilled,59,608,0,4,2
Best Seller,"Action & Adventure, Drama, Mystery & Suspense",25-09-87,25,09,1987,92,Fresh,73,15,Spilled,55,2333,1,11,4
Best Worst Movie,"Comedy, Documentary, Television",23-04-10,23,04,2010,91,Certified-Fresh,94,69,Upright,84,3331,16,65,4
The Best Years of Our Lives,"Classics, Drama, Romance",21-11-46,21,11,1946,172,Certified-Fresh,97,60,Upright,93,10819,14,58,2
Bestiaire,"Art House & International, Documentary, Drama, Special Interest",19-10-12,19,10,2012,72,Fresh,86,21,Spilled,44,195,9,18,3
Bethany,Horror,07-04-17,07,04,2017,90,Rotten,29,7,Spilled,43,60,1,2,5
Bethlehem,"Drama, Mystery & Suspense",07-03-14,07,03,2014,99,Certified-Fresh,79,48,Upright,72,575,23,38,10
Betsy's Wedding,"Comedy, Romance",22-06-90,22,06,1990,94,Rotten,50,10,Spilled,40,6859,4,5,5
Better Days,Drama,08-11-19,08,11,2019,135,Fresh,100,15,,97,131,3,15,0
Better Living Through Chemistry,"Comedy, Drama",14-03-14,14,03,2014,91,Rotten,22,36,Spilled,38,1291,14,8,28
Better Luck Tomorrow,"Action & Adventure, Drama",11-04-02,11,04,2002,101,Certified-Fresh,81,106,Upright,79,8304,40,86,20
Better Start Running,"Action & Adventure, Comedy",12-10-18,12,10,2018,92,Rotten,33,6,Spilled,37,34,1,2,4
Better than Chocolate,"Art House & International, Comedy, Romance, Gay & Lesbian",13-08-99,13,08,1999,101,Rotten,39,23,Upright,78,11709,4,9,14
Better This World,"Documentary, Special Interest",16-09-11,16,09,2011,82,Fresh,100,10,Upright,78,197,5,10,0
A Better Tomorrow,"Action & Adventure, Art House & International, Drama, Mystery & Suspense",14-10-10,14,10,2010,91,Fresh,93,14,Upright,90,18816,0,13,1
Better Watch Out,"Drama, Horror, Mystery & Suspense",06-10-17,06,10,2017,89,Certified-Fresh,89,64,Upright,65,4492,15,57,7
Bettie Page Reveals All,"Documentary, Special Interest",22-11-13,22,11,2013,90,Fresh,74,39,Upright,61,1618,16,29,10
Betting on Zero,Documentary,17-03-17,17,03,2017,99,Fresh,100,16,Upright,79,970,6,16,0
372 le Matin (Betty Blue) (37.2 Degrees in the Morning),"Art House & International, Drama, Romance",09-04-86,09,04,1986,120,Fresh,77,26,Upright,91,14484,9,20,6
Betty: They Say I'm Different,Documentary,,00,01,1900,54,Fresh,83,6,,,,2,5,1
Between Love & Goodbye,"Drama, Gay & Lesbian",01-12-08,01,12,2008,97,Rotten,33,6,Spilled,45,383,4,2,4
Between Strangers,Drama,13-09-02,13,09,2002,95,Rotten,25,8,Spilled,46,428,2,2,6
Between the Lines,"Comedy, Drama, Special Interest",27-04-77,27,04,1977,101,Fresh,93,15,Spilled,57,118,1,14,1
Between Two Ferns: The Movie,Comedy,,00,01,1900,82,Certified-Fresh,74,58,Spilled,43,332,13,43,15
Between Us,"Comedy, Drama",14-06-13,14,06,2013,90,Rotten,50,10,Upright,76,44,2,5,5
Between Us,"Comedy, Drama, Romance",06-01-17,06,01,2017,93,Rotten,50,8,Spilled,34,101,4,4,4
Between Worlds,Mystery & Suspense,,00,01,1900,90,Rotten,32,22,Upright,84,623,4,7,15
Beverly Hills Cop,"Action & Adventure, Comedy, Mystery & Suspense",01-12-84,01,12,1984,105,Certified-Fresh,82,51,Upright,82,377609,8,42,9
Beverly Hills Cop II,"Action & Adventure, Comedy",20-05-87,20,05,1987,103,Rotten,47,32,Spilled,57,276220,3,15,17
Beverly Hills Cop III,"Action & Adventure, Comedy",25-05-94,25,05,1994,,Rotten,9,53,Spilled,35,205016,17,5,48
Beverly Hills Ninja,"Action & Adventure, Comedy",17-01-97,17,01,1997,88,Rotten,14,28,Spilled,53,309917,8,4,24
Beware Of Mr. Baker,"Documentary, Musical & Performing Arts",28-11-12,28,11,2012,92,Certified-Fresh,98,53,Upright,87,3807,23,52,1
Beware the Gonzo,Comedy,09-09-11,09,09,2011,94,Rotten,44,9,Spilled,47,463,5,4,5
Bewitched,"Comedy, Science Fiction & Fantasy",24-06-05,24,06,2005,100,Rotten,25,187,Spilled,28,215443,47,46,141
The Beyond (...E tu vivrai nel terrore! L'aldilà),"Drama, Horror",22-04-81,22,04,1981,80,Fresh,67,21,Upright,76,8773,2,14,7
Beyond a Reasonable Doubt,"Drama, Mystery & Suspense",05-09-56,05,09,1956,80,Fresh,72,18,Spilled,56,730,5,13,5
Beyond Belief,"Documentary, Drama, Special Interest",29-02-08,29,02,2008,98,Fresh,83,12,Upright,89,317,6,10,2
Beyond Borders,"Action & Adventure, Drama, Romance",24-10-03,24,10,2003,127,Rotten,14,103,Upright,72,32091,34,14,89
Beyond Clueless,"Documentary, Horror, Special Interest, Romance",10-03-14,10,03,2014,89,Fresh,79,24,Spilled,42,159,6,19,5
Beyond Hatred (Au-dela de la haine),"Art House & International, Documentary, Special Interest",15-06-07,15,06,2007,90,Fresh,89,19,Spilled,55,1677,9,17,2
Beyond Outrage,Action & Adventure,03-01-14,03,01,2014,112,Rotten,50,18,Spilled,58,668,8,9,9
Beyond Rangoon,"Action & Adventure, Drama",25-08-95,25,08,1995,100,Rotten,39,33,Upright,71,8039,11,13,20
Beyond Re-Animator,"Comedy, Horror, Science Fiction & Fantasy",25-07-03,25,07,2003,93,Rotten,50,12,Spilled,39,9602,1,6,6
Beyond Skyline,"Action & Adventure, Drama, Science Fiction & Fantasy",15-12-17,15,12,2017,106,Fresh,65,20,Spilled,38,791,5,13,7
Beyond The Black Rainbow,"Horror, Science Fiction & Fantasy",18-05-12,18,05,2012,109,Rotten,58,33,Spilled,52,3342,9,19,14
Beyond the Edge,"Action & Adventure, Documentary, Drama, Mystery & Suspense, Sports & Fitness",04-07-14,04,07,2014,,Fresh,69,26,Upright,61,322,9,18,8
Beyond the Gates,Drama,08-12-05,08,12,2005,115,Certified-Fresh,84,64,Upright,85,17620,27,54,10
Beyond the Gates,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy",09-12-16,09,12,2016,84,Fresh,83,23,Spilled,28,769,5,19,4
Beyond The Hills,"Art House & International, Drama",08-03-13,08,03,2013,150,Certified-Fresh,91,106,Upright,81,2141,38,96,10
Beyond the Lights,Drama,14-11-14,14,11,2014,116,Certified-Fresh,84,92,Upright,75,19249,33,77,15
Beyond The Mask,"Action & Adventure, Drama",06-04-15,06,04,2015,118,Rotten,29,14,Upright,70,1460,2,4,10
Beyond the Mat,"Documentary, Special Interest, Sports & Fitness",22-10-99,22,10,1999,102,Certified-Fresh,82,67,Upright,83,8526,20,55,12
Beyond the Ocean,"Art House & International, Drama",20-01-00,20,01,2000,87,Rotten,33,9,,,,4,3,6
Beyond the Poseidon Adventure,Action & Adventure,18-05-79,18,05,1979,114,Rotten,0,7,Spilled,22,4238,3,0,7
Beyond The Reach,Mystery & Suspense,17-04-15,17,04,2015,91,Rotten,37,68,Spilled,20,929,22,25,43
Beyond the Sea,"Drama, Musical & Performing Arts",29-12-04,29,12,2004,121,Rotten,42,157,Upright,64,17949,36,66,91
Beyond the Valley of the Dolls,"Classics, Comedy, Drama, Mystery & Suspense, Romance",17-06-70,17,06,1970,109,Fresh,75,28,Upright,72,8116,4,21,7
Beyond the Visible - Hilma af Klint,Documentary,17-04-20,17,04,2020,94,Fresh,96,24,,,,7,23,1
Beyond Therapy,Comedy,27-02-87,27,02,1987,93,Rotten,20,10,Spilled,32,1219,3,2,8
Bhaag Milkha Bhaag,Drama,12-07-13,12,07,2013,188,Fresh,72,18,Upright,83,1778,6,13,5
Bhool Bhulaiyaa,"Art House & International, Comedy, Drama",12-10-07,12,10,2007,155,Rotten,20,5,Upright,72,4959,2,1,4
Bhoot (Ghost House),"Art House & International, Drama, Horror",30-05-03,30,05,2003,119,Fresh,67,6,Spilled,48,577,3,4,2
Bhoothnath,"Art House & International, Drama, Kids & Family",09-05-08,09,05,2008,140,Fresh,60,5,Spilled,53,2428,1,3,2
Bhutto,"Documentary, Special Interest",03-12-10,03,12,2010,115,Fresh,87,23,Upright,87,1244,9,20,3
Bicentennial Man,"Comedy, Drama, Science Fiction & Fantasy",17-12-99,17,12,1999,131,Rotten,36,97,Spilled,58,359497,25,35,62
Bickford Shmeckler's Cool Ideas,Comedy,,00,01,1900,75,Rotten,50,6,Spilled,54,2547,0,3,3
Bicycle Thieves (Ladri di biciclette) (The Bicycle Thief),Drama,13-12-49,13,12,1949,90,Certified-Fresh,98,63,Upright,94,34207,17,62,1
Bidder 70,"Documentary, Drama, Special Interest",17-05-13,17,05,2013,73,Fresh,80,10,Spilled,55,202,5,8,2
Big,"Comedy, Kids & Family, Science Fiction & Fantasy",01-01-88,01,01,1988,104,Certified-Fresh,97,74,Upright,82,401978,16,72,2
Big Stan,Comedy,24-03-09,24,03,2009,108,Rotten,11,9,Spilled,44,5977,2,1,8
Big Ass Spider!,"Comedy, Science Fiction & Fantasy",18-10-13,18,10,2013,80,Fresh,78,27,Spilled,44,1107,8,21,6
Big Bad Love,"Art House & International, Drama",11-10-01,11,10,2001,111,Rotten,41,58,Upright,70,1189,20,24,34
Big Bad Mama,"Action & Adventure, Comedy, Drama",01-01-74,01,01,1974,83,Fresh,71,14,Spilled,41,4324,0,10,4
Big Bad Wolves,"Comedy, Drama, Mystery & Suspense",17-01-14,17,01,2014,110,Certified-Fresh,76,70,Upright,69,7056,21,53,17
The Big Bounce,"Action & Adventure, Comedy, Drama",30-01-04,30,01,2004,89,Rotten,16,135,Spilled,24,21235,37,21,114
Big Boys Gone Bananas!*,"Documentary, Special Interest",27-07-12,27,07,2012,90,Fresh,78,23,Upright,80,180,13,18,5
The Big Brass Ring,Drama,20-04-99,20,04,1999,104,Rotten,57,7,Spilled,17,87,1,4,3
Big Bully,"Comedy, Drama",26-01-96,26,01,1996,93,Rotten,0,8,Spilled,19,9761,3,0,8
The Big Bus,"Action & Adventure, Comedy, Science Fiction & Fantasy",23-06-76,23,06,1976,88,Fresh,64,11,Spilled,57,1838,0,7,4
The Big Chill,"Comedy, Drama, Musical & Performing Arts",28-09-83,28,09,1983,103,Fresh,68,38,Upright,77,22301,8,26,12
The Big Clock,"Classics, Drama, Mystery & Suspense",01-01-48,01,01,1948,95,Fresh,100,8,Upright,83,1409,0,8,0
The Big Combo,"Classics, Drama, Mystery & Suspense",13-02-55,13,02,1955,89,Fresh,92,13,Upright,81,2207,4,12,1
The Big Country,"Classics, Drama, Western",01-01-58,01,01,1958,165,Fresh,100,12,Upright,90,5518,0,12,0
Big Daddy,"Comedy, Kids & Family",25-06-99,25,06,1999,93,Rotten,39,94,Upright,74,1052217,27,37,57
Big Driver,Mystery & Suspense,,00,01,1900,90,Rotten,50,10,Spilled,29,301,7,5,5
The Big Easy,"Action & Adventure, Comedy, Drama, Mystery & Suspense",21-08-87,21,08,1987,101,Fresh,89,37,Upright,61,6899,13,33,4
Big Eden,"Comedy, Drama, Romance, Gay & Lesbian",01-06-01,01,06,2001,119,Fresh,65,52,Upright,79,3947,20,34,18
Big Eyes,Drama,25-12-14,25,12,2014,106,Fresh,72,190,Upright,68,32609,43,136,54
Big Fat Liar,"Comedy, Kids & Family",08-02-02,08,02,2002,88,Rotten,44,94,Spilled,44,400127,23,41,53
Big Foot: The Lost Coast Tapes,"Horror, Mystery & Suspense",19-10-12,19,10,2012,87,Rotten,57,7,Spilled,29,397,4,4,3
Big Fur,Documentary,,00,01,1900,76,Fresh,100,13,,,,0,13,0
Big Game,Action & Adventure,26-06-15,26,06,2015,90,Certified-Fresh,78,89,Spilled,34,8975,24,69,20
The Big Gay Musical,"Comedy, Musical & Performing Arts, Gay & Lesbian",11-09-09,11,09,2009,90,Fresh,100,7,Upright,67,791,1,7,0
The Big Green,"Comedy, Kids & Family",29-09-95,29,09,1995,99,Rotten,0,5,Spilled,46,36217,1,0,5
Big Hero 6,"Animation, Kids & Family",07-11-14,07,11,2014,102,Certified-Fresh,89,225,Upright,91,129475,49,201,24
The Big Hit,Action & Adventure,24-04-98,24,04,1998,91,Rotten,43,40,Spilled,57,29771,10,17,23
The Big House,"Classics, Drama",14-05-30,14,05,1930,87,Fresh,75,8,Upright,69,323,0,6,2
Big Jake,"Action & Adventure, Classics, Western",,00,01,1900,110,Fresh,83,6,Upright,85,12739,2,5,1
Big Kill,"Action & Adventure, Western",19-10-18,19,10,2018,129,Rotten,22,9,Upright,60,86,3,2,7
Big Liar on Campus,"Comedy, Drama",02-03-07,02,03,2007,91,Rotten,6,18,Spilled,45,15508,9,1,17
Big Miracle,"Action & Adventure, Comedy, Drama, Romance",03-02-12,03,02,2012,107,Certified-Fresh,75,104,Upright,64,38931,28,78,26
Big Momma's House,"Action & Adventure, Comedy",02-06-00,02,06,2000,98,Rotten,30,81,Spilled,57,475722,26,24,57
"Big Mommas: Like Father, Like Son",Comedy,18-02-11,18,02,2011,108,Rotten,5,61,Spilled,58,132113,15,3,58
Big Muddy,"Drama, Horror, Western",23-01-15,23,01,2015,104,Rotten,57,7,Spilled,17,75,2,4,3
Big Night,"Comedy, Drama, Romance",20-09-96,20,09,1996,107,Certified-Fresh,96,56,Upright,84,8183,13,54,2
Big Nothing,"Comedy, Mystery & Suspense",12-06-07,12,06,2007,86,Rotten,46,13,Upright,61,16520,4,6,7
The Big One,"Documentary, Special Interest",10-04-98,10,04,1998,96,Fresh,92,39,Upright,67,7132,8,36,3
The Big Picture,"Comedy, Drama",15-09-89,15,09,1989,100,Fresh,87,23,Spilled,45,3289,5,20,3
The Big Red One,"Action & Adventure, Drama",28-05-80,28,05,1980,113,Certified-Fresh,90,49,Upright,78,9048,16,44,5
The Big Shot-Caller,Drama,15-05-09,15,05,2009,90,Rotten,23,13,Spilled,57,5529,6,3,10
Big Shots,"Action & Adventure, Comedy, Drama",,00,01,1900,88,Fresh,60,5,Upright,60,1309,1,3,2
Big Sky,"Drama, Mystery & Suspense",14-08-15,14,08,2015,90,Rotten,18,11,Spilled,10,239,4,2,9
Big Star: Nothing Can Hurt Me,"Documentary, Musical & Performing Arts",03-07-13,03,07,2013,113,Fresh,92,38,Upright,83,1994,20,35,3
The Big Steal,"Action & Adventure, Classics, Drama, Mystery & Suspense",09-07-49,09,07,1949,71,Fresh,80,5,Upright,64,543,0,4,1
Big Stone Gap,"Comedy, Romance",09-10-15,09,10,2015,96,Rotten,38,21,Spilled,53,1224,10,8,13
Big Sur,"Drama, Special Interest",01-11-13,01,11,2013,100,Rotten,44,25,Spilled,38,1075,11,11,14
The Big Tease,"Art House & International, Comedy",26-01-00,26,01,2000,86,Rotten,56,39,Spilled,55,2497,15,22,17
Big Top Pee-wee,Comedy,22-07-88,22,07,1988,86,Rotten,35,20,Spilled,30,30013,1,7,13
The Big Trail,"Classics, Drama, Western",01-01-30,01,01,1930,126,Fresh,100,8,Upright,70,1996,1,8,0
Big Trouble,Comedy,30-05-86,30,05,1986,93,Rotten,17,6,Spilled,27,605,0,1,5
Big Trouble in Little China,"Action & Adventure, Science Fiction & Fantasy",02-07-86,02,07,1986,98,Fresh,78,45,Upright,82,136446,2,35,10
Big Wednesday,"Comedy, Drama",04-01-78,04,01,1978,120,Fresh,67,12,Upright,87,5897,1,8,4
The Bigamist,"Classics, Drama",03-12-53,03,12,1953,80,Fresh,88,8,Spilled,49,402,1,7,1
A Bigger Splash,"Documentary, Drama",03-10-74,03,10,1974,101,Fresh,100,9,Spilled,42,98,4,9,0
"Bigger, Stronger, Faster*","Documentary, Special Interest",30-05-08,30,05,2008,105,Certified-Fresh,96,76,Upright,81,106400,23,73,3
Bigger Than the Sky,"Comedy, Drama",18-02-05,18,02,2005,106,Rotten,12,17,Spilled,53,1434,9,2,15
Biggie and Tupac,"Documentary, Drama, Musical & Performing Arts, Special Interest",11-01-02,11,01,2002,107,Certified-Fresh,79,48,Upright,73,7733,16,38,10
Biker Boyz,"Action & Adventure, Drama",31-01-03,31,01,2003,110,Rotten,23,93,Spilled,54,66296,29,21,72
Bikes vs Cars,Documentary,04-12-15,04,12,2015,90,Fresh,60,15,Spilled,56,79,5,9,6
"Bikram: Yogi, Guru, Predator",Documentary,,00,01,1900,86,Certified-Fresh,96,23,Upright,73,116,12,22,1
Bill,"Comedy, Kids & Family",11-04-16,11,04,2016,94,Fresh,89,19,Upright,60,465,4,17,2
Bill & Ted Face the Music,"Action & Adventure, Comedy, Science Fiction & Fantasy",28-08-20,28,08,2020,91,Certified-Fresh,82,235,Upright,72,2203,33,193,42
Bill & Ted's Bogus Journey,"Action & Adventure, Comedy, Science Fiction & Fantasy",19-07-91,19,07,1991,98,Rotten,57,53,Spilled,56,230542,13,30,23
Bill and Ted's Excellent Adventure,"Action & Adventure, Comedy, Science Fiction & Fantasy",17-02-89,17,02,1989,90,Certified-Fresh,81,52,Upright,75,376335,6,42,10
Bill Burr: I'm Sorry You Feel That Way,Comedy,05-12-14,05,12,2014,,Fresh,100,5,Upright,94,62,2,5,0
Bill Burr: Paper Tiger,Comedy,,00,01,1900,,Fresh,86,7,Upright,96,1351,1,6,1
Bill Cunningham New York,"Documentary, Musical & Performing Arts",16-03-11,16,03,2011,84,Certified-Fresh,99,74,Upright,92,4037,26,73,1
Billion Dollar Brain,"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense",01-01-67,01,01,1967,111,Rotten,50,6,Spilled,41,2581,1,3,3
Billionaire Boys Club,"Drama, Mystery & Suspense",17-08-18,17,08,2018,108,Rotten,7,15,Spilled,36,336,6,1,14
Billionaire Ransom (Take Down),Mystery & Suspense,19-08-16,19,08,2016,107,Rotten,20,5,Spilled,28,129,1,1,4
Billu,"Art House & International, Comedy",12-02-09,12,02,2009,137,Fresh,60,5,Spilled,44,3770,2,3,2
Billy Bathgate,Drama,01-11-91,01,11,1991,106,Rotten,38,24,Spilled,28,5894,7,9,15
Billy Elliot,"Comedy, Drama, Musical & Performing Arts",03-11-00,03,11,2000,110,Certified-Fresh,85,118,Upright,89,280591,38,100,18
Billy Jack,"Action & Adventure, Classics, Cult Movies, Drama, Special Interest",01-05-71,01,05,1971,112,Fresh,63,16,Upright,63,9208,2,10,6
Billy Jack Goes to Washington,"Action & Adventure, Art House & International, Drama",01-01-77,01,01,1977,155,Rotten,0,8,Spilled,37,2024,1,0,8
Billy Liar,"Classics, Comedy, Drama, Science Fiction & Fantasy",01-01-63,01,01,1963,98,Fresh,94,17,Upright,84,2697,1,16,1
Billy Lynn's Long Halftime Walk,Drama,18-11-16,18,11,2016,108,Rotten,44,158,Spilled,41,6226,47,69,89
Billy Madison,Comedy,10-02-95,10,02,1995,89,Rotten,40,47,Upright,79,765898,7,19,28
Billy's Hollywood Screen Kiss,"Comedy, Romance",24-07-98,24,07,1998,92,Fresh,78,23,Upright,64,2879,6,18,5
Biloxi Blues,"Comedy, Drama",25-03-88,25,03,1988,106,Fresh,78,27,Upright,62,10030,7,21,6
Iceman,"Action & Adventure, Art House & International, Comedy, Science Fiction & Fantasy",19-09-14,19,09,2014,104,Rotten,20,5,Spilled,27,407,3,1,4
Bio-Dome,Comedy,12-01-96,12,01,1996,95,Rotten,4,25,Spilled,51,98390,8,1,24
Bird,Drama,01-10-88,01,10,1988,161,Fresh,83,23,Upright,79,6251,8,19,4
Bird of Paradise,"Action & Adventure, Classics, Drama, Romance",12-08-32,12,08,1932,80,Rotten,53,15,Spilled,48,1828,5,8,7
Bird Box,"Drama, Mystery & Suspense, Science Fiction & Fantasy",13-12-18,13,12,2018,124,Fresh,63,160,Spilled,57,7325,28,101,59
Bird on a Wire,"Action & Adventure, Comedy",18-05-90,18,05,1990,110,Rotten,32,22,Spilled,41,57338,3,7,15
Bird People,"Drama, Romance",12-09-14,12,09,2014,128,Fresh,60,35,Spilled,40,429,12,21,14
L'uccello dalle piume di cristallo (The Bird With the Crystal Plumage),"Art House & International, Drama, Mystery & Suspense",12-06-70,12,06,1970,98,Fresh,93,28,Upright,80,6967,5,26,2
The Birdcage,"Comedy, Gay & Lesbian",06-03-96,06,03,1996,119,Certified-Fresh,80,51,Upright,81,105000,12,41,10
Birdemic: Shock And Terror,"Horror, Mystery & Suspense, Romance",31-12-08,31,12,2008,93,Rotten,18,17,Spilled,26,1804,3,3,14
Birders: The Central Park Effect,Documentary,18-01-13,18,01,2013,60,Fresh,100,11,Upright,77,350,11,11,0
Birdman,"Comedy, Drama",17-10-14,17,10,2014,119,Certified-Fresh,91,352,Upright,77,93184,64,321,31
